serial,constituency_number,township,ward_village
5,5,ွ း် ကျးရွာအပ်စ၊,12။ တွာလ်မူး  ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,13။ တွီးထန် ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,14။ တွီး တာ့ ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,15။ တွီးဒိလ်း ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,16။  တွီးပီး ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,17။  ထန်းဇန် ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,18။ ထာလ်မွလ် ကျးရွာ အပ်စ 19။ ဒမ်ပီး ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,20။ ဖိင်ယား ကျးရွာ အပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,21။ ဗာလ်ဂမ  22။  ဘွန်လီ ကျးရွာ  အပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,23။  ဘမ်ဇန် ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,24။ ဘတ်ဖီရ် ကျးရွာ အပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,25။ မွီ ဇာလ် ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,26။  မွာလ်လမ်း  ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,27။ လိင်လိး ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,28။ လိင်တွီး  ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,29။ လိင်လွီး ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,30။  ဝါင်မွာလ်  ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,31။  ဟာက် ပီး ကျးရွာ  အပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,32။ အန်းလန ့် ကျးရွာအပ်စ။
6,6,ချင်းြပည်နယ်,တီးတိန် မို ့နယ်အတွင်းရှိ 1။ လွယ်ဘွားလ်ရပ်ကွက် (တီးတိန်  မို ့)
6,6,ချင်းြပည်နယ်,2။  လးလမ်း ရပ်ကွက် (တီးတိန် မို ့)
6,6,ချင်းြပည်နယ်,3။ ကပ်တလ  ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,4။ ခိန်းဇန် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,5။ ခ ဆပ် ကျးရွာ  အပ်စ
6,6,ချင်းြပည်နယ်,6။ ငါလ်ဇန် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,7။ ဆဲဇန် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,8။ ဆိင်းဇန် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,9။  ဆွာင်းပီး ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,10။  ဆွာင်း ဖ ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,11။  ထးဇန် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,12။ ထတ်လင်  ိ ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,13။ ဒိမ်ပီး ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,14။ ဒ  လွင် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,15။ ပတ်ဇန် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,16။ ပင်းပီး  ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,17။ ပန် ့ဆပ် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,18။ ဖူးနွမ်း ကျးရွာ  အပ်စ
6,6,ချင်းြပည်နယ်,19။ ဗန်းတဲ့ ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,20။ ဘွင် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,21။  ဘွင်မ  ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,22။  မွာလ်ဘဲ ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,23။  လမ်းဇန် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,24။  လိမ်ခိင် ကျးရွာအပ်စ
